,Industry,Complaint Type,Mediation Start Date,Mediation Close Date,Complaint Result,Satisfaction,Business City,Business State,Count the number of first five most complainted states,
4079,Secondhand Dealer Auto - 005,Damaged Goods - D01,12/15/2017,01/26/2018,No Satisfactory Agreement - NSA,No,RICHMOND HILL,NY,,
4080,Tow Truck Company - 124,Surcharge/Overcharge - S02,10/05/2017,11/08/2017,Cash Amount - AMT,Yes,ROCKAWAY BEACH,NY,,
4081,Tow Truck Company - 124,Billing Dispute - B02,05/25/2018,06/01/2018,Advised to Sue - ATS,No,LONG ISLAND CITY,NY,,
4082,Home Improvement Contractor - 100,Quality of Work - Q01,01/26/2018,03/12/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
4083,Tow Truck Company - 124,Misrepresentation - M01,07/06/2018,08/06/2018,Cash Amount - AMT,Yes,BRONX,NY,,
4084,Employment Agency - 034,Non-Delivery of Service - N02,03/29/2018,04/17/2018,Unable to Locate Business - ULV,,NEW YORK,NY,,
4085,Electronic & Home Appliance Service Dealer - 115,Non-Delivery of Service - N02,12/08/2017,01/09/2018,No Business Response - NVR,No,BRONX,NY,,
4086,Home Improvement Contractor - 100,Quality of Work - Q01,09/28/2017,10/04/2017,Referred to Hearing - RTH,No,ELMONT,NY,,
4087,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,04/04/2017,05/11/2017,No Business Response - NVR,No,PASSAIC,NJ,,
4088,Tax Preparers - 891,Refund Policy - R01,05/02/2017,05/05/2017,Consumer Withdrew Complaint - CWC,,KANSAS CITY,MO,,
4089,Garage - 049,Surcharge/Overcharge - S02,06/06/2017,06/26/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
4090,Tow Truck Company - 124,Misrepresentation - M01,04/20/2018,06/06/2018,Referred to Outside - RTO,,BROOKLYN,NY,,
4091,Home Improvement Contractor - 100,Non-Delivery of Service - N02,02/28/2017,04/12/2017,Cash Amount - AMT,Yes,STATEN ISLAND,NY,,
4092,Dry Cleaners - 230,Damaged Goods - D01,08/21/2018,09/07/2018,Cash Amount - AMT,Yes,BROOKLYN,NY,,
4093,Home Improvement Contractor - 100,Exchange Goods/Contract Cancelled - E01,07/20/2018,08/10/2018,Cash Amount - AMT,Yes,AVON,MA,,
4094,Home Improvement Contractor - 100,Quality of Work - Q01,02/07/2017,03/20/2017,Cash Amount - AMT,Yes,BRONX,NY,,
4095,Travel Agency - 440,Exchange Goods/Contract Cancelled - E01,03/22/2017,03/30/2017,Referred to Outside - RTO,,JACKSON HEIGHTS,NY,,
4096,Internet Complaints - 443,Refund Policy - R01,01/03/2017,01/09/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
4097,Home Improvement Contractor - 100,Non-Delivery of Service - N02,04/20/2018,05/17/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
4098,Home Improvement Contractor - 100,Quality of Work - Q01,06/26/2017,08/08/2017,Resolved and Consumer Satisfied - SPF,Yes,STATEN ISLAND,NY,,
4099,Garage - 049,Billing Dispute - B02,07/12/2018,07/17/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
4100,Home Improvement Contractor - 100,Quality of Work - Q01,07/20/2018,09/14/2018,Advised to Sue - ATS,No,STATEN ISLAND,NY,,
4101,Electronic & Home Appliance Service Dealer - 115,Breach of Warranty - B04,08/25/2017,09/25/2017,Cash Amount - AMT,Yes,HOFFMAN ESTATES,IL,,
4102,Garage - 049,Surcharge/Overcharge - S02,12/20/2016,01/03/2017,Store Credit - SCR,Yes,NEW YORK,NY,,
4103,Debt Collection Agency - 122,Billing Dispute - B02,03/30/2017,05/08/2017,Bill Reduced - BLR,Yes,HOUSTON,TX,,
4104,Tow Truck Company - 124,Refund Policy - R01,03/08/2017,04/03/2017,Cash Amount - AMT,Yes,STATEN ISLAND,NY,,
4105,Debt Collection Agency - 122,Billing Dispute - B02,09/19/2017,09/28/2017,Resolved and Consumer Satisfied - SPF,Yes,HOUSTON,TX,,
4106,Misc Non-Food Retail - 817,Misrepresentation - M01,02/02/2018,02/23/2018,Consumer Took Action - CTA,No,NEW YORK,NY,,
4107,Debt Collection Agency - 122,Billing Dispute - B02,06/19/2017,07/06/2017,Bill Reduced - BLR,Yes,AUSTIN,TX,,
4108,Secondhand Dealer Auto - 005,Damaged Goods - D01,07/26/2017,09/22/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
4109,Electronic & Home Appliance Service Dealer - 115,Defective Goods - D02,08/30/2017,09/18/2017,Goods Exchanged - GEX,Yes,BENTON HARBOR,MI,,
4110,Home Improvement Contractor - 100,Quality of Work - Q01,08/24/2018,09/07/2018,Goods Repaired - GRS,Yes,LYNBROOK,NY,,
4111,Supermarket - 819,Exchange Goods/Contract Cancelled - E01,08/10/2017,08/24/2017,Store Credit - SCR,Yes,NEW YORK,NY,,
4112,Debt Settlement - 248,Outstanding Judgment - J01,07/27/2018,08/21/2018,Referred to Outside - RTO,,NEW YORK,NY,,
4113,Garage - 049,Misrepresentation - M01,10/19/2017,11/08/2017,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
4114,Secondhand Dealer Auto - 005,Billing Dispute - B02,12/29/2016,01/04/2017,Out of Business - OOB,,HOLLIS,NY,,
4115,Garage - 049,Surcharge/Overcharge - S02,08/24/2017,09/29/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
4116,Home Improvement Contractor - 100,Non-Delivery of Service - N02,12/01/2016,01/10/2017,Consumer Took Action - CTA,No,STATEN ISLAND,NY,,
4117,Tow Truck Company - 124,Surcharge/Overcharge - S02,07/13/2018,08/09/2018,Cash Amount - AMT,Yes,BRONX,NY,,
4118,Debt Collection Agency - 122,Billing Dispute - B02,03/09/2017,03/31/2017,Resolved and Consumer Satisfied - SPF,Yes,ROLLING MEADOWS,IL,,
4119,Misc Non-Food Retail - 817,Damaged Goods - D01,05/09/2017,06/13/2017,No Business Response - NVR,No,BRONX,NY,,
4120,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,07/25/2017,08/04/2017,Goods Exchanged - GEX,Yes,BRONX,NY,,
4122,Electronic Store - 001,Billing Dispute - B02,03/30/2017,04/17/2017,Bill Reduced - BLR,Yes,MONSEY,NY,,
4123,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,06/07/2017,07/11/2017,Store Credit - SCR,Yes,HICKSVILLE,NY,,
4124,Furniture Sales - 242,Damaged Goods - D01,02/02/2018,03/19/2018,Consumer Took Action - CTA,No,NEW YORK,NY,,
4125,Home Improvement Contractor - 100,Quality of Work - Q01,11/17/2017,12/15/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
4126,Misc Non-Food Retail - 817,Non-Delivery of Service - N02,03/16/2018,04/04/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
4128,Retail Store - 820,Advertising/General - A01,02/13/2018,02/21/2018,Consumer Took Action - CTA,No,NEW YORK,NY,,
4129,Mailorder Misc - 319,Misrepresentation - M01,10/20/2017,11/17/2017,Unable to Locate Business - ULV,,NEW YORK,NY,,
4130,Home Improvement Contractor - 100,Quality of Work - Q01,04/20/2018,05/18/2018,Advised to Sue - ATS,No,RIDGEWOOD,NY,,
4131,Locksmith - 062,Surcharge/Overcharge - S02,05/25/2017,07/07/2017,Advised to Sue - ATS,No,BRONX,NY,,
4132,Secondhand Dealer Auto - 005,Damaged Goods - D01,01/04/2017,03/07/2017,Referred to Outside - RTO,,BRONX,NY,,
4133,Supermarket - 819,Refund Policy - R01,01/20/2017,01/25/2017,Store Credit - SCR,Yes,BROOKLYN,NY,,
4134,Secondhand Dealer Auto - 005,Breach of Contract - B03,06/08/2018,06/28/2018,Cash Amount - AMT,Yes,LONG ISLAND CIT,NY,,
4135,Home Improvement Contractor - 100,Quality of Work - Q01,06/20/2017,09/05/2017,Referred to Hearing - RTH,No,NEW YORK,NY,,
4136,Misc Non-Food Retail - 817,Breach of Contract - B03,03/02/2018,03/26/2018,No Consumer Response - NCR,,CORTLANDT MANOR,NY,,
4137,Other,Misrepresentation - M01,02/02/2018,03/06/2018,Resolved and Consumer Satisfied - SPF,Yes,HOLYOKE,MA,,
4138,Secondhand Dealer Auto - 005,Breach of Warranty - B04,05/04/2018,06/06/2018,Cash Amount - AMT,Yes,ELMHURST,NY,,
4139,Debt Collection Agency - 122,Billing Dispute - B02,05/02/2017,05/18/2017,Resolved and Consumer Satisfied - SPF,Yes,INDIANAPOLIS,IN,,
4140,Electronic Store - 001,Billing Dispute - B02,11/30/2016,01/06/2017,Cash Amount - AMT,Yes,FORT WORTH,TX,,
4141,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,01/04/2017,02/16/2017,No Satisfactory Agreement - NSA,No,OZONE PARK,NY,,
4142,Tow Truck Company - 124,Damaged Goods - D01,12/13/2016,01/06/2017,Referred to Hearing - RTH,No,FLUSHING,NY,,
4143,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,03/16/2018,04/18/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
4144,Misc Non-Food Retail - 817,Misrepresentation - M01,05/22/2018,06/05/2018,Goods Exchanged - GEX,Yes,SOUTH RICHMOND HILL,NY,,
4145,Home Improvement Contractor - 100,Breach of Contract - B03,07/20/2018,08/07/2018,Referred to Outside - RTO,,BAYSIDE,NY,,
4146,Home Improvement Contractor - 100,Quality of Work - Q01,01/04/2017,02/06/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
4147,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/28/2018,09/05/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,NEW YORK,NY,,
4149,Home Improvement Contractor - 100,Non-Delivery of Service - N02,01/18/2018,02/15/2018,Cash Amount - AMT,Yes,RIDGEWOOD,NY,,
4150,Debt Collection Agency - 122,Breach of Contract - B03,02/03/2017,03/01/2017,Bill Reduced - BLR,Yes,JACKSONVILLE,FL,,
4151,Furniture Sales - 242,Non-Delivery of Goods - N01,11/16/2017,11/22/2017,No Satisfactory Preempted - NSP,,BROOKLYN,NY,,
4152,Garage - 049,Non-Delivery Goods/Services,12/27/2017,01/03/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
4153,Drug Store Retail - 810,Exchange Goods/Contract Cancelled - E01,07/03/2018,07/11/2018,No Satisfactory Preempted - NSP,,WOONSOCKET,RI,,
4154,Secondhand Dealer Auto - 005,Billing Dispute - B02,01/18/2018,01/25/2018,Cash Amount - AMT,Yes,BRONX,NY,,
4155,Garage - 049,Surcharge/Overcharge - S02,09/29/2017,10/30/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
4156,Electronic Store - 001,Surcharge/Overcharge - S02,10/27/2017,11/14/2017,Bill Reduced - BLR,Yes,COLLEGE POINT,NY,,
4157,Debt Collection Agency - 122,Billing Dispute - B02,03/30/2017,04/18/2017,Bill Reduced - BLR,Yes,WHITE PLAINS,NY,,
4158,Secondhand Dealer Auto - 005,Misrepresentation - M01,10/27/2017,12/05/2017,Advised to Sue - ATS,No,LONG ISLAND CITY,NY,,
4160,Dry Cleaners - 230,Non-Delivery of Goods - N01,06/26/2018,07/11/2018,Unable to Locate Business - ULV,,NEW YORK,NY,,
4161,Home Improvement Contractor - 100,Non-Delivery of Service - N02,07/20/2018,09/04/2018,Advised to Sue - ATS,No,RICHMOND HILL,NY,,
4162,Home Improvement Contractor - 100,Quality of Work - Q01,02/03/2017,03/07/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
4163,Misc Non-Food Retail - 817,Breach of Contract - B03,02/02/2018,03/01/2018,Advised to Sue - ATS,No,BAYSIDE,NY,,
4164,Dry Cleaners - 230,Damaged Goods - D01,03/20/2018,04/02/2018,Advised to Sue - ATS,No,FRESH MEADOWS,NY,,
4165,Secondhand Dealer Auto - 005,Damaged Goods - D01,07/06/2017,08/08/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
4166,Electronic & Home Appliance Service Dealer - 115,Breach of Warranty - B04,03/23/2018,04/12/2018,Complaint Invalid - CIN,,LISLE,IL,,
4167,Home Improvement Contractor - 100,Quality of Work - Q01,02/03/2017,03/15/2017,Unable to Locate Business - ULV,,UNIONDALE,NY,,
4168,Garage - 049,Damaged Goods - D01,07/26/2017,08/08/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
4169,Electronic Store - 001,Breach of Contract - B03,07/20/2018,08/02/2018,Bill Reduced - BLR,Yes,OVERLAND PARK,KS,,
4170,Home Improvement Contractor - 100,Quality of Work - Q01,05/04/2017,05/18/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
4171,Dry Cleaners - 230,Wrong Goods - W01,03/29/2017,04/10/2017,Advised to Sue - ATS,No,BRONX,NY,,
4172,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,07/26/2018,09/04/2018,Consumer Took Action - CTA,No,JAMAICA,NY,,
4173,Electronic Store - 001,Breach of Contract - B03,08/16/2017,09/25/2017,No Business Response - NVR,No,BRONX,NY,,
4174,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,08/14/2018,08/17/2018,Complaint Invalid - CIN,,NEW YORK,NY,,
4177,Electronic Store - 001,Advertising/Misleading - A02,05/31/2017,06/28/2017,Goods Exchanged - GEX,Yes,BRONX,NY,,
4178,Tow Truck Company - 124,Surcharge/Overcharge - S02,02/10/2017,02/17/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
4179,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,08/04/2017,09/19/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
4181,Electronic Store - 001,Damaged Goods - D01,08/21/2018,08/24/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
4182,Other,Misrepresentation - M01,04/20/2018,04/26/2018,Cash Amount - AMT,Yes,MASSAPEQUA PARK,NY,,
4183,Secondhand Dealer Auto - 005,Billing Dispute - B02,03/30/2018,04/04/2018,Complaint Invalid - CIN,,STATEN ISLAND,NY,,
4184,Home Improvement Contractor - 100,Quality of Work - Q01,12/07/2017,01/12/2018,No Consumer Response - NCR,,BRONX,NY,,
4185,Tow Truck Company - 124,Surcharge/Overcharge - S02,08/10/2018,08/15/2018,Referred to Outside - RTO,,BROOKLYN,NY,,
4186,Parking Lot - 050,Damage / Estimate,09/29/2017,10/13/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
4187,Restaurant - 818,Misrepresentation - M01,01/12/2018,01/26/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
4188,Home Improvement Contractor - 100,Breach of Contract - B03,11/24/2017,01/03/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
4189,Home Improvement Contractor - 100,Breach of Contract - B03,09/14/2017,09/29/2017,Cash Amount - AMT,Yes,ISLAND PARK,NY,,
4191,Secondhand Dealer Auto - 005,Damaged Goods - D01,10/17/2017,10/24/2017,Complaint Invalid - CIN,,BROOKLYN,NY,,
4193,Mailorder Misc - 319,Non-Delivery of Goods - N01,10/24/2017,11/03/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
4194,Garage - 049,Surcharge/Overcharge - S02,06/07/2017,07/11/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
4195,Garage - 049,Surcharge/Overcharge - S02,01/30/2018,02/08/2018,Cash Amount - AMT,Yes,NEW YORK,NY,,
4196,Secondhand Dealer Auto - 005,Billing Dispute - B02,04/19/2018,05/04/2018,Bill Reduced - BLR,Yes,ELMHURST,NY,,
4197,Home Improvement Contractor - 100,Breach of Contract - B03,10/11/2017,11/08/2017,Complaint Invalid - CIN,,INWOOD,NY,,
4198,Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/08/2018,08/06/2018,Advised to Sue - ATS,No,TUCKAHOE,NY,,
4199,Secondhand Dealer [General] - 006,Exchange Goods/Contract Cancelled - E01,07/12/2017,08/04/2017,Advised to Sue - ATS,No,NEW YORK,NY,,
4201,Debt Settlement - 248,Non-Delivery of Service - N02,12/15/2017,01/09/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
4202,Tow Truck Company - 124,Unauthorized tow,01/19/2018,01/29/2018,Cash Amount - AMT,Yes,BAYSIDE,NY,,
4203,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,11/24/2017,12/20/2017,Store Credit - SCR,Yes,BAYSIDE,NY,,
4204,Furniture Sales - 242,Damaged Goods - D01,06/07/2017,06/14/2017,Goods Exchanged - GEX,Yes,MANCHESTER,CT,,
4205,Appliances - 244,Damaged Goods - D01,07/05/2017,08/22/2017,Resolved and Consumer Satisfied - SPF,Yes,MOORESVILLE,NC,,
4206,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,01/05/2018,02/01/2018,Advised to Sue - ATS,No,HOWARD BEACH,NY,,
4207,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,09/19/2017,10/23/2017,Advised to Sue - ATS,No,JAMAICA,NY,,
4208,Home Improvement Contractor - 100,Non-Delivery of Goods - N01,03/02/2018,03/19/2018,No Business Response - NVR,No,BROOKLYN,NY,,
4209,Garage - 049,Unauthorized charges,08/14/2018,09/04/2018,Advised to Sue - ATS,No,JAMAICA,NY,,
4210,Electronic Store - 001,Defective Goods - D02,01/04/2017,01/25/2017,Goods Repaired - GRS,Yes,BROOKLYN,NY,,
4211,Secondhand Dealer Auto - 005,Exchange Goods/Contract Cancelled - E01,08/24/2017,09/20/2017,Cash Amount - AMT,Yes,GLENDALE,NY,,
4212,Home Improvement Contractor - 100,Quality of Work - Q01,02/28/2017,03/08/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
4213,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,10/18/2017,11/21/2017,Resolved and Consumer Satisfied - SPF,Yes,LISLE,IL,,
4214,Home Improvement Contractor - 100,Quality of Work - Q01,11/24/2017,12/28/2017,Advised to Sue - ATS,No,JACKSON HEIGHTS,NY,,
4215,Retail Store - 820,Misrepresentation - M01,04/11/2017,04/19/2017,No Satisfactory Agreement - NSA,No,NEW YORK,NY,,
4216,Garage - 049,Misrepresentation - M01,11/14/2017,11/20/2017,Cash Amount - AMT,Yes,BRONX,NY,,
4217,Debt Collection Agency - 122,Billing Dispute - B02,01/05/2018,01/19/2018,Resolved and Consumer Satisfied - SPF,Yes,NORFOLK,VA,,
4218,Appliances - 244,Damaged Goods - D01,07/20/2017,08/07/2017,Complaint Invalid - CIN,,FARMINGDALE,NY,,
4219,Home Improvement Contractor - 100,Quality of Work - Q01,03/29/2017,04/24/2017,Goods Repaired - GRS,Yes,S RICHMOND HL,NY,,
4220,Misc Non-Food Retail - 817,Misrepresentation - M01,09/12/2018,09/21/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
4221,Pawnbroker - 080,Lost Property - L02,09/14/2018,09/27/2018,Resolved and Consumer Satisfied - SPF,Yes,NEW YORK,NY,,
4222,Employment Agency - 034,Billing Dispute - B02,12/01/2016,01/10/2017,No Business Response - NVR,No,NEW YORK,NY,,
4223,Debt Collection Agency - 122,Billing Dispute - B02,03/23/2018,04/12/2018,Bill Reduced - BLR,Yes,RENTON,WA,,
4224,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/09/2017,09/22/2017,Goods Exchanged - GEX,Yes,NEW YORK,NY,,
4225,Catering Establishment - 075,Non-Delivery of Service - N02,05/25/2017,06/28/2017,Advised to Sue - ATS,No,JAMAICA,NY,,
4226,Other,Surcharge/Overcharge - S02,02/02/2018,02/20/2018,Advised to Sue - ATS,No,FLUSHING,NY,,
4227,Furniture Sales - 242,Non-Delivery of Goods - N01,12/28/2016,02/15/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
4228,Tow Truck Company - 124,Misrepresentation - M01,03/16/2017,04/21/2017,No Consumer Response - NCR,,BRONX,NY,,
4229,Electronic Store - 001,Defective Goods - D02,09/06/2017,09/22/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
4230,Electronic & Home Appliance Service Dealer - 115,Exchange Goods/Contract Cancelled - E01,04/03/2018,04/12/2018,No Satisfactory Agreement - NSA,No,FRANKLIN SQ,NY,,
4231,Home Improvement Contractor - 100,Quality of Work - Q01,09/26/2017,10/30/2017,Resolved and Consumer Satisfied - SPF,Yes,QUEENS VILLAGE,NY,,
4232,Appliances - 244,Exchange Goods/Contract Cancelled - E01,10/13/2017,10/18/2017,Complaint Invalid - CIN,,BROOKLYN,NY,,
4233,Tow Truck Company - 124,Billing Dispute - B02,05/02/2017,05/31/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
4234,Jewelry Store-Retail - 823,Misrepresentation - M01,12/22/2017,01/09/2018,Referred to Outside - RTO,,JAMAICA,NY,,
4235,Home Improvement Contractor - 100,Outstanding Judgment - J01,05/25/2018,06/26/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
4236,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,07/24/2017,07/28/2017,Advised to Sue - ATS,No,REGO PARK,NY,,
4237,Home Improvement Contractor - 100,Damaged Goods - D01,08/03/2017,09/11/2017,Goods Repaired - GRS,Yes,BRONX,NY,,
4238,Pawnbroker - 080,Lost Property - L02,03/23/2018,04/02/2018,Advised to Sue - ATS,No,NEW YORK,NY,,
4239,Secondhand Dealer Auto - 005,Breach of Contract - B03,05/24/2018,06/05/2018,Credit Card Refund and/or Contract Cancelled - CRC,Yes,JAMAICA,NY,,
4240,Dry Cleaners - 230,Non-Delivery of Goods - N01,04/18/2017,05/19/2017,Unable to Locate Business - ULV,,BRONX,NY,,
4241,Tow Truck Company - 124,Surcharge/Overcharge - S02,05/25/2017,06/28/2017,Referred to Hearing - RTH,No,BROOKLYN,NY,,
4242,Furniture Sales - 242,Misrepresentation - M01,11/24/2017,12/29/2017,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
4243,Secondhand Dealer Auto - 005,Billing Dispute - B02,11/03/2017,11/30/2017,Resolved and Consumer Satisfied - SPF,Yes,LONG ISLAND CITY,NY,,
4244,Home Improvement Contractor - 100,Quality of Work - Q01,08/08/2017,09/22/2017,Referred to Hearing - RTH,No,NEW YORK,NY,,
4245,Electronic Store - 001,Advertising/Misleading - A02,07/03/2018,08/15/2018,Advised to Sue - ATS,No,RICHMOND HILL,NY,,
4246,Misc Non-Food Retail - 817,Non-Delivery of Goods - N01,10/03/2017,10/06/2017,Store Credit - SCR,Yes,ATLANTA,GA,,
4248,Tow Truck Company - 124,Surcharge/Overcharge - S02,04/18/2017,04/24/2017,Cash Amount - AMT,Yes,BAYSIDE,NY,,
4249,Employment Agency - 034,Billing Dispute - B02,05/17/2017,05/26/2017,Cash Amount - AMT,Yes,JAMAICA,NY,,
4250,Health Spa - 839,Misrepresentation - M01,11/06/2017,11/16/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,ELMSFORD,NY,,
4251,Secondhand Dealer Auto - 005,Damaged Goods - D01,05/25/2017,07/13/2017,Advised to Sue - ATS,No,BROOKLYN,NY,,
4252,Furniture Sales - 242,Damaged Goods - D01,04/06/2018,04/26/2018,Goods Exchanged - GEX,Yes,BRONX,NY,,
4254,Appliances - 244,Non-Delivery of Goods - N01,09/19/2017,10/25/2017,Goods Exchanged - GEX,Yes,HOFFMAN ESTATES,IL,,
4255,Floor Coverings - 241,Non-Delivery of Goods - N01,04/26/2018,05/03/2018,Cash Amount - AMT,Yes,BRONX,NY,,
4256,Electronic Store - 001,Surcharge/Overcharge - S02,06/02/2017,07/05/2017,Cash Amount - AMT,Yes,NEW YORK,NY,,
4257,Tow Truck Company - 124,Surcharge/Overcharge - S02,07/13/2018,08/13/2018,Cash Amount - AMT,Yes,BAYSIDE,NY,,
4258,Garage - 049,Damage / Estimate,09/29/2017,11/03/2017,Consumer Took Action - CTA,No,NEW YORK,NY,,
4259,Debt Collection Agency - 122,Billing Dispute - B02,03/20/2018,04/04/2018,Referred to Outside - RTO,,COLUMBUS,OH,,
4260,Debt Collection Agency - 122,Misrepresentation - M01,08/11/2017,08/28/2017,Resolved and Consumer Satisfied - SPF,Yes,NORFOLK,VA,,
4261,Home Improvement Contractor - 100,Refund Policy - R01,08/24/2018,09/07/2018,Cash Amount - AMT,Yes,FLUSHING,NY,,
4262,Misc Non-Food Retail - 817,Exchange Goods/Contract Cancelled - E01,05/08/2017,05/15/2017,Complaint Invalid - CIN,,CORONA,NY,,
4263,Debt Collection Agency - 122,Billing Dispute - B02,07/14/2017,08/30/2017,Resolved and Consumer Satisfied - SPF,Yes,NORFOLK,VA,,
4264,Other,Exchange Goods/Contract Cancelled - E01,06/29/2018,08/07/2018,No Business Response - NVR,No,LONG ISLAND CITY,NY,,
4266,Home Improvement Contractor - 100,Surcharge/Overcharge - S02,03/02/2017,04/20/2017,Advised to Sue - ATS,No,JERICHO,NY,,
4267,Tow Truck Company - 124,Billing Dispute - B02,11/23/2016,01/10/2017,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
4268,Debt Collection Agency - 122,Billing Dispute - B02,02/28/2017,03/31/2017,Resolved and Consumer Satisfied - SPF,Yes,HOUSTON,TX,,
4269,Dry Cleaners - 230,Damaged Goods - D01,06/20/2017,07/21/2017,Cash Amount - AMT,Yes,BROOKLYN,NY,,
4270,Retail Store - 820,Non-Delivery of Goods - N01,04/10/2017,05/08/2017,Referred to Outside - RTO,,BROOKLYN,NY,,
4271,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,08/24/2018,09/06/2018,Goods Exchanged - GEX,Yes,FARMINGDALE,NY,,
4272,Misc Non-Food Retail - 817,Quality of Work - Q01,11/03/2017,11/09/2017,Consumer Withdrew Complaint - CWC,,BROOKLYN,NY,,
4273,Other,Misrepresentation - M01,05/08/2018,05/16/2018,Resolved and Consumer Satisfied - SPF,Yes,BRONX,NY,,
4274,Tow Truck Company - 124,Billing Dispute - B02,12/15/2017,12/21/2017,Cash Amount - AMT,Yes,BAYSIDE,NY,,
4275,Tow Truck Company - 124,Surcharge/Overcharge - S02,07/28/2017,08/09/2017,Cash Amount - AMT,Yes,QUEENS VLG,NY,,
4276,Home Improvement Contractor - 100,Breach of Contract - B03,10/17/2017,11/21/2017,Goods Repaired - GRS,Yes,REGO PARK,NY,,
4277,Home Improvement Contractor - 100,Non-Delivery of Service - N02,06/16/2017,07/14/2017,No Business Response - NVR,No,FLUSHING,NY,,
4278,Electronic Store - 001,Misrepresentation - M01,06/30/2017,08/10/2017,Resolved and Consumer Satisfied - SPF,Yes,RICHFIELD,MN,,
4279,Electronic Store - 001,Misrepresentation - M01,07/12/2017,07/26/2017,Credit Card Refund and/or Contract Cancelled - CRC,Yes,RICHFIELD,MN,,
4280,Home Improvement Contractor - 100,Breach of Contract - B03,04/24/2017,05/30/2017,Advised to Sue - ATS,No,WOODHAVEN,NY,,
4281,Jewelry Store-Retail - 823,Misrepresentation - M01,04/26/2017,05/24/2017,Consumer Took Action - CTA,No,NEW YORK,NY,,
4282,Electronic Store - 001,Exchange Goods/Contract Cancelled - E01,11/16/2017,12/08/2017,Advised to Sue - ATS,No,BRONX,NY,,
4283,Home Improvement Contractor - 100,Misrepresentation - M01,07/06/2018,07/23/2018,Consumer Took Action - CTA,No,GREAT NECK,NY,,
4284,Furniture Sales - 242,Exchange Goods/Contract Cancelled - E01,02/09/2018,03/23/2018,Advised to Sue - ATS,No,BROOKLYN,NY,,
4285,Car Wash,Receipt Incomplete/Not Given,07/31/2018,08/03/2018,Resolved and Consumer Satisfied - SPF,Yes,BROOKLYN,NY,,
4286,Electronic Store - 001,Breach of Contract - B03,12/22/2017,01/05/2018,Cash Amount - AMT,Yes,SAN FRANCISCO,CA,,
